x,y,z
44.308489,-78.36809,236.6
44.308338,-78.367927,235.9
44.308181,-78.367773,235.5
44.308033,-78.367623,235.3
44.307883,-78.36748,235.1
44.307738,-78.367303,234.9
44.307595,-78.367119,234.7
44.307466,-78.366911,234.4
44.307337,-78.366714,234.3
44.307217,-78.366516,234.3
44.307116,-78.366306,234.3
44.307037,-78.366061,234.2
44.30696,-78.365826,234.0
44.306878,-78.365595,233.9
44.30683,-78.365319,233.7
44.306802,-78.365067,233.6
44.306787,-78.364813,233.5
44.306767,-78.364542,233.4
44.306754,-78.364269,233.3
44.306768,-78.363992,233.1
44.306762,-78.363722,232.7
44.306783,-78.363453,232.4
44.306791,-78.363279,232.3
44.30683,-78.363104,232.1
44.306862,-78.36286,231.9
44.306956,-78.362632,231.8
44.307029,-78.36238,231.7
44.307117,-78.362133,232.1
44.307209,-78.361896,233.7
44.30731,-78.361662,233.8
44.307447,-78.361467,233.6
44.307583,-78.361278,233.3
44.307695,-78.361067,233.2
44.307737,-78.360946,233.2
44.307765,-78.360794,233.1
44.307905,-78.360594,233.0
44.308015,-78.360393,233.0
44.308119,-78.360187,233.0
44.30824,-78.359984,233.0
44.308366,-78.359771,233.0
44.308473,-78.35956,233.0
44.308615,-78.359353,233.0
44.308758,-78.359169,232.6
44.308904,-78.359005,231.6
44.308915,-78.358968,231.5
44.30902,-78.358733,231.1
44.309055,-78.358667,231.0
44.30918,-78.358442,231.0
44.309294,-78.358209,231.0
44.30938,-78.358026,231.0
44.309475,-78.357839,230.9
44.309583,-78.357637,230.5
44.309707,-78.357432,229.9
44.309817,-78.357226,229.3
44.309921,-78.357053,229.1
44.31004,-78.356825,229.0
44.310157,-78.356618,229.0
44.310169,-78.356595,229.0
44.310214,-78.356469,229.0
44.310233,-78.356441,229.0
44.310345,-78.356231,228.8
44.310421,-78.356002,228.7
44.31054,-78.355797,228.9
44.310622,-78.355663,228.7
44.310739,-78.355489,228.3
44.310881,-78.355282,228.1
44.310997,-78.355083,228.0
44.31112,-78.354867,228.0
44.311262,-78.35467,228.0
44.311393,-78.354495,228.0
44.311518,-78.354312,228.0
44.311657,-78.354096,229.0
44.311791,-78.353899,229.9
44.311895,-78.35369,229.8
44.312015,-78.353463,229.7
44.312123,-78.353288,229.5
44.312201,-78.353146,229.4
44.312245,-78.353076,229.4
44.312373,-78.352864,229.2
44.312521,-78.352668,229.1
44.312646,-78.352457,228.8
44.312783,-78.352271,228.7
44.312793,-78.352234,228.6
44.312881,-78.352097,228.6
44.31301,-78.351908,228.5
44.313126,-78.351681,228.3
44.313234,-78.351475,227.7
44.313363,-78.351273,226.9
44.313474,-78.351044,226.5
44.313596,-78.350838,226.1
44.313725,-78.350622,225.3
44.31385,-78.350409,224.7
44.313966,-78.350203,223.8
44.314045,-78.349971,223.2
44.314128,-78.349729,222.9
44.314191,-78.349483,222.6
44.31427,-78.349234,222.3
44.314331,-78.348971,221.8
44.314404,-78.348728,221.4
44.314451,-78.348499,221.2
44.314529,-78.34827,221.0
44.314539,-78.348189,220.9
44.314587,-78.347905,220.7
44.314643,-78.347643,220.6
44.31464,-78.347387,220.5
